Unique name,superclass 1
activated carbon filter,filter
aeration basin,basin
air distributor,gas distributor
air filter,filter
air grid,aerator
air receiver,gas receiver
anchor bolt,bolt
anchor bolt ring,base ring
anchor chair,support
angle support,support
apron,shield
asterisks bottom internal,physical object
asterisks interbed internal,physical object
atmospheric storage tank,storage tank
atmospheric vessel,vessel
auxiliary baffle,baffle
axial nozzle,nozzle
backing strip,strip
backwash filter,filter
baffle tray,tray
bag filter,filter
bag house,filter
bare vessel,vessel
base plate,mounting plate
base ring,ring
batch reactor,process reactor
beam,support
berl saddle packing,process packing
bin,vessel
bin section,section
biofiltration filter,filter
bioreactor,process reactor
bladder accumulator,pressure accumulator
bottle,container
bottom basket,basket
bottom corner,feature
bottom entry feed nozzle,feed nozzle
bottom vessel head,vessel head
breather,physical object
bubble cap,riser cap
bubble cap tray,tray
bubble column,process column
buffer vessel,vessel
bulk product compartment,compartment
bullet vessel,horizontal vessel
bunker reactor,process reactor
burp tube,gas distributor
caged ladder,ladder
calming section tray,tray
candle filter,filter
cartridge filter,filter
catalyst bed,physical object
catalyst distributor,distributor
catalyst drop out nozzle,nozzle
catalyst hopper,hopper
catalyst spider,catalyst distributor
catalytic converter,chemical converter
catalytic deaerator,deaerator
catcher,physical object
center downcomer,downcomer
ceramic balls packing,process packing
ceramic filter,filter
certification body name plate,name plate
channel,physical object
checker plate,plate
chemical converter,converter
chimney tray,draw off tray
clean out door,physical object
closed beam support frame,frame
coalescent filter,gas filter
coalescer,gravity separator
cold high pressure separator,separator
cold low pressure separator,separator
cold wall reactor,process reactor
collecting cone,bin
combi-tower,process column
compartmented vessel,vessel
compensation sleeve,sleeve
conical bottom tank,tank
conical head,head
conical roof,roof
conical roof tank,tank
conical shell,shell
conical skirt,skirt
consep tray,tray
process contactor,physical object
conventional downcomer tray,valve tray
converter,physical object
corrugated plate interceptor,interceptor
cover flange,plate
crankcase air filter,air filter
cross flow filter,filter
cyclone separator,separator
cylindrical tank,tank
cylindrical vessel,vessel
dash pot,physical object
davit support clip,clip
deaerator,separator
decanter,settler
demister,physical object
demister support tray,support tray
desalter,vessel
dewaxing filter,filter
diaphragm accumulator,pressure accumulator
dilchill,physical object
dip pipe,physical object
disc and doughnut tray,tray
discharge vessel,vessel
dished head,head
distillation column,process column
distributor pan,pan
distributor tray,tray
dollar plate,plate
dome,physical object
dome roof,roof
dome roof tank,tank
double deck floating roof tank,floating roof tank
double decker draw off tray,draw off tray
double wall sight glass,sight glass
downcomer,physical object
drain hole,hole
drain nozzle,nozzle
draw off bin,bin
draw off tray,tray
drum,vessel
duplex filter,filter
dust collector,container
dust filter,gas filter
ebbulating bed reactor,process reactor
ebullating bed,catalyst bed
eccentric section,section
egg slicer,physical object
ejector,vacuum pump
electrostatic precipitator,separator
electrostatic separator,separator
ellipsoidal head,head
enamelled vessel,lined vessel
extraction column,process column
extractor,process column
feed bed,vessel bed
feed nozzle,nozzle
filter,separator
filter cartridge,filter element
filter cloth,filter element
filter element,physical object
filter press,filter
filter tray,tray
final treatment basin,basin
fireproofing support clip,clip
first stage separator,separator
fixed bed,catalyst bed
fixed bed reactor,process reactor
fixed roof tank,tank
flanged nozzle,nozzle
flash tower,process column
flash vessel,vessel
flasher,physical object
flat head,head
floating roof tank,tank
flow trough cyclone,cyclone separator
fluid accumulator,accumulator
fluid regulator cap,fluid regulator
fluidisation ring,aerator
fluidized bed,vessel bed
fluidized bed reactor,process reactor
forged nozzle,nozzle
fourth stage separator,separator
fractionator,physical object
fuel filter,filter
fuel injector,physical object
fuel tank,tank
full containment tank,tank
full containment tank pit,tank pit
gas bottle,pressure vessel
gas cap,enclosure
gas cylinder,pressure vessel
gas distributor,distributor
gas filter,filter
gas flow damper,pressure vessel
gas holder,tank
gas quench system,quench system
gas receiver,pressure vessel
gas reversal chamber,chamber
gasifier,physical object
gas-liquid separator,separator
gas-solid separator,separator
glass lined reactor,process reactor
globe cone,physical object
grab rung,rung
gravity distributor tray,distributor tray
gravity separator,separator
grid,physical object
grid bar,physical object
grid support beam,support beam
grid tray,tray
guard bed reactor,process reactor
gulftronic filter,filter
gutter,trough
handhole,nozzle
handhole cover,cover
hatch way cover,cover
hatch way door,door
heat transfer plate pack,physical object
hemispherical head,head
hifi calming section,downcomer
hifi calming section tray,calming section tray
hifi tray,valve tray
high dispersion tray,tray
hold down grid,grid
holding basin,basin
hopper,vessel
horizontal vessel,vessel
horizontal vessel with boot,horizontal vessel
horizontal vessel with dome,horizontal vessel
hot high pressure separator,separator
hot low pressure separator,separator
hot wall reactor,process reactor
hydro cyclone,cyclone separator
hydrocracker reactor,process reactor
hydrodesulphurizer reactor,process reactor
hydrotreater reactor,process reactor
impingement plate,plate
inlet device,physical object
inlet nozzle,nozzle
inlet screen,filter
inlet weir,weir
in-line filter,filter
